subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm,layer_label,segment_label,segment_short
clean_stageII_48h,405,moisture_12in,post3_late_storage,25,385,0.9791516100214052,0.8002403487824965,0.4774186894489078,-0.099260265580933,12 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,490,moisture_12in,early_0_3h,8,96,0.9908234636405716,0.6383870331037393,0.4927082781525883,-0.0664897452157735,12 in,"Early transient, 0-3 h",Early
clean_stageII_48h,490,moisture_12in,post3_late_storage,8,125,0.9820594430808688,1.0662082762909826,0.5258429347017065,0.0243066837739999,12 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,125,moisture_16in,early_0_3h,24,288,0.909150964130398,0.7071394513277185,0.5129376587395541,0.0106752950417852,16 in,"Early transient, 0-3 h",Early
clean_stageII_48h,125,moisture_16in,post3_mid_storage,10,91,0.8487230781722513,0.5681853135989368,0.353152173143535,-0.0057196893396504,16 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,125,moisture_16in,post3_late_storage,24,397,0.9803540508393715,0.2640079031283793,0.1812909675130519,-0.0422377927095088,16 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,405,moisture_16in,early_0_3h,13,156,0.9884130375257992,1.0943856581937397,0.8909879219645208,-0.0266842601934161,16 in,"Early transient, 0-3 h",Early
clean_stageII_48h,405,moisture_16in,post3_mid_storage,9,84,0.9786977049553972,1.4000502082867232,1.1812992046873196,0.1542421462479349,16 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,405,moisture_16in,post3_late_storage,13,167,0.9815002345837274,1.1019834063916412,0.6791052190056327,0.2049030319592464,16 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,125,moisture_20in,early_0_3h,31,372,0.7181739448684944,0.8636520583002589,0.6219537648683544,0.0355955909448827,20 in,"Early transient, 0-3 h",Early
clean_stageII_48h,125,moisture_20in,post3_late_storage,31,337,0.9948667328989672,0.1189422388314818,0.0991012845788245,-0.0038920393872543,20 in,Post-3 h low-storage tail,Low-storage
